PROJECT:;PRJ6076
LOAD CASE NAME:;LDDtest
LOAD CASE TYPE:;FATIGUE
LOAD CASE SUBTYPE:;F_Power_production
REPETITIONS:;1138.75
LOAD FACTOR:;1
APPLIED LOAD FACTOR:;YES
DAF:;1
APPLIED DAF:;YES
PROCESS:;WRITE
PROCESS VERSION:;v2.0


;FIRST_BEARING;FIRST_BEARING;FIRST_BEARING;FIRST_BEARING;FIRST_BEARING;FIRST_BEARING;FIRST_BEARING;FIRST_BEARING;HUB_CENTER;HUB_CENTER
;Stationary;Stationary;Stationary;Stationary;Stationary;Stationary;Stationary;Stationary;Unknown;Unknown
;Station:0;Station:0;Station:0;Station:0;Station:0;Station:0;Station:0;Station:0;Station:0;Station:0
Time;FB_STA_FX;FB_STA_FY;FB_STA_FYZ;FB_STA_FZ;FB_STA_MX;FB_STA_MY;FB_STA_MYZ;FB_STA_MZ;ROTOR_AZIMUTH;ROTOR_SPEED
[s];[N];[N];[N];[N];[Nm];[Nm];[Nm];[Nm];[rad];[rad/s]
0;750637.1912;15953.41779;0;-1198696.718;0;2493774.919;0;2165521.774;0;9.7
0.04;750637.1912;15953.41779;0;-1198696.718;0;2493774.919;0;-2112228.771;0;9.7
0.08;750637.1912;15953.41779;0;-1198696.718;0;-3683912.98;0;2165521.774;0;9.7
0.12;750637.1912;15953.41779;0;-1198696.718;0;-3683912.98;0;-2112228.771;0;9.7
0.16;750637.1912;-32391.47883;0;-1198696.718;0;2493774.919;0;2165521.774;0;9.7
0.2;750637.1912;-32391.47883;0;-1198696.718;0;2493774.919;0;-2112228.771;0;9.7
0.24;750637.1912;-32391.47883;0;-1198696.718;0;-3683912.98;0;2165521.774;0;9.7
0.28;750637.1912;-32391.47883;0;-1198696.718;0;-3683912.98;0;-2112228.771;0;9.7
0.32;-65674.83861;15953.41779;0;-1198696.718;0;2493774.919;0;2165521.774;0;9.7
0.36;-65674.83861;15953.41779;0;-1198696.718;0;2493774.919;0;-2112228.771;0;9.7
0.4;-65674.83861;15953.41779;0;-1198696.718;0;-3683912.98;0;2165521.774;0;9.7
0.44;-65674.83861;15953.41779;0;-1198696.718;0;-3683912.98;0;-2112228.771;0;9.7
0.48;-65674.83861;-32391.47883;0;-1198696.718;0;2493774.919;0;2165521.774;0;9.7
0.52;-65674.83861;-32391.47883;0;-1198696.718;0;2493774.919;0;-2112228.771;0;9.7
0.56;-65674.83861;-32391.47883;0;-1198696.718;0;-3683912.98;0;2165521.774;0;9.7
0.6;-65674.83861;-32391.47883;0;-1198696.718;0;-3683912.98;0;-2112228.771;0;9.7

